Env,DistB73,SS,NSS,TS,INBRED,10KW_Inbred,KC_Inbred,CD_Inbred,CL_Inbred,CW_Inbred,TKW_Inbred,10KW_B73,KC_B73,CD_B73,CL_B73,CW_B73,TKW_B73,10KW_Hyb,KC_Hyb,CD_Hyb,CL_Hyb,CW_Hyb,TKW_Hyb,10KW_bph,CD_bph,CL_bph,CW_bph,TKW_bph
02F,1.1927995,0.059,0.939,0.002,CM7,2.56,54.296875,20.33,61.288,3.22,13.9,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.74,354.3315508,29.914,128.15,24.5,132.52,0.011666667,2.631666668,27.29933333,6.34,24.475
02F,1.67397643,0.002,0.002,0.996,CML10,2.72,202.3529412,21.272,149.078,16.22,55.04,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.72,416.7204301,29.088,168.396,30.82,155.02,0.068333333,2.160666668,16.59566668,0.16,3.905
02F,2.0907411,0.003,0.005,0.992,CML103,3.3,283.030303,23.504,129.514,17.06,93.4,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.5375,502.0388693,28.948,135.044,25.66,177.59625,0.358333333,1.044666668,6.813666675,0.58,15.275
02F,1.88594668,0.002,0.099,0.899,CML108,2.22,208.4684685,27.956,104.67,17.74,46.28,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.14,408.089172,34.24,136.184,30.9,128.14,0.181666667,1.181333333,5.608333325,0.92,8.285
02F,1.74779635,0.003,0.002,0.995,CML11,2.34,180.2564103,21.892,122.444,13.24,42.18,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.96,391.8686869,29.756,183.408,34.84,155.18,0.121666667,1.850666668,3.278666675,1.33,10.335
02F,2.23734457,0.001,0.001,0.998,CML14,1.98,147.8787879,24.922,92.804,15.02,29.28,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.52,393.8068182,26.65,149.974,34.74,138.62,0.301666667,0.335666668,11.54133333,0.44,16.785
02F,1.59826461,0.002,0.005,0.993,CML154Q,2.12,191.6981132,29.958,91.108,18.64,40.64,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.2,530.125,34.614,169.158,34.92,169.64,0.231666667,2.182333333,12.38933333,1.37,11.105
02F,1.78058617,0.004,0.018,0.978,CML157Q,2.58,221.7054264,25.17,98.916,12.06,57.2,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.54,513.3333333,29.498,162.326,34.42,181.72,0.001666667,0.211666668,8.485333325,1.92,2.825
02F,1.71604765,0.01,0.018,0.972,CML158Q,2.175,333.7931034,30.4875,123.845,24.45,72.6,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.26,554.2331288,33.37,165.996,41.52,180.68,0.204166667,2.447083333,3.979166675,4.275,4.875
02F,1.78058617,0.01,0.301,0.689,CML218,2.24,129.7321429,26.474,95.874,13.22,29.06,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.26,441.1656442,30.358,140.428,29.5,143.82,0.171666667,0.440333333,10.00633333,1.34,16.895
02F,1.54419739,0.059,0.053,0.888,CML220,3.36,127.1428571,27.034,111.76,14,42.72,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.42,377.3684211,28.754,132.008,22.64,129.06,0.388333333,0.720333332,2.063333325,0.95,10.065
02F,2.13726111,0.003,0.002,0.995,CML228,2.82,185.9574468,22.57,119.402,11.58,52.44,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.86375,400.8929149,32.912,140.062,27.62,154.895,0.118333333,1.511666668,1.757666675,2.16,5.205
02F,1.81448772,0.001,0.004,0.995,CML238,2.72,189.9264706,32.944,87.168,13.46,51.66,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.52,432.7272727,34.718,149.908,31.76,152.32,0.068333333,3.675333333,14.35933333,1.22,5.595
02F,1.92368701,0.003,0.006,0.991,CML247,1.86,179.6774194,25.728,85.98,15.68,33.42,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.34375,466.6093458,28.822,140.672,28.56,156.0225,0.361666667,0.067333332,14.95333333,0.11,14.715
02F,2.54272622,0.001,0.006,0.993,CML254,2.3,266.0869565,23.155,115.985,13.9,61.2,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.48,488.2758621,28.824,155.518,28.92,169.92,0.141666667,1.219166668,0.049166675,1,0.825
02F,2.16332303,0.001,0.002,0.997,CML258,2.225,254.494382,27.8125,108.99,14.9,56.625,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.78,419.4708995,29.516,145.914,29.14,158.56,0.179166667,1.109583333,3.448333325,0.5,3.1125
02F,1.44411393,0.016,0.004,0.98,CML261,2.7,211.5555556,26.126,109.614,13.4,57.12,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.8,435.7368421,30.59,167.564,30.3,165.58,0.058333333,0.266333333,3.136333325,1.25,2.865
02F,2.29141179,0.002,0.001,0.997,CML264,2.36,203.3050847,26.89,126.554,17.68,47.98,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.3,423.0909091,28.522,129.504,26.6,139.62,0.111666667,0.648333333,5.333666675,0.89,7.435
02F,2.18605128,0.001,0.004,0.995,CML277,2.54,132.9133858,26.164,91.848,16,33.76,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.945,413.3301648,34.778,147.412,36.92,163.05875,0.021666667,0.285333333,12.01933333,0.05,14.545
02F,1.96290773,0.023,0.046,0.931,CML281,3,169.8333333,28.985,86.6675,11.725,50.95,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.8,376.4736842,29.224,131.426,25.18,143.06,0.208333333,1.695833333,14.60958333,2.0875,5.95
02F,2.18605128,0.004,0.022,0.974,CML287,2.625,196.6666667,25.3275,115.7075,16.4,51.625,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.34,335.988024,30.078,132.104,25.12,112.22,0.020833333,0.132916668,0.089583325,0.25,5.6125
02F,1.88594668,0.004,0.114,0.882,CML311,.,.,.,.,.,.,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.06,470.7843137,30.408,143.1,35.58,144.06,.,.,.,.,.
02F,1.84957904,0.003,0.002,0.995,CML314,3.2,160.0625,25.616,118.264,19.46,51.22,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.86,341.2435233,28.048,144.028,26.06,131.72,0.308333333,0.011333333,1.188666675,1.78,5.815
02F,1.96290773,0.027,0.008,0.965,CML321,2.28,319.0350877,32.458,125.782,24,72.74,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.5,451.4857143,34.484,156.452,35.68,158.02,0.151666667,3.432333333,4.947666675,4.05,4.945
02F,2.00372972,0.01,0.005,0.985,CML322,2.3,213.2608696,27.1025,96.97,15.5,49.05,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.297142857,428.6135182,28.876,154.584,31.2,141.32,0.141666667,0.754583332,9.458333325,0.2,6.9
02F,1.68527599,0.007,0.34,0.653,CML323,2.46,232.2764228,24.874,108.346,14.22,57.14,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.7,437.8918919,30.626,161.684,32.2,162.02,0.061666667,0.359666668,3.770333325,0.84,2.855
02F,1.57086564,0.002,0.357,0.641,CML328,2.166666667,105.6923077,20.92333333,73.79666667,5.733333333,22.9,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.4,422.0588235,28.864,137.08,22.42,143.5,0.208333333,2.335000003,21.04499999,5.083333334,19.975
02F,2.18605128,0.002,0.003,0.995,CML331,3.02,229.0728477,27.222,105.134,18.46,69.18,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.94,362.6395939,34.234,133.954,28.4,142.88,0.218333333,0.814333332,5.376333325,1.28,3.165
02F,2.40919483,0.002,0.003,0.995,CML332,4.24,166.2146226,26.238,112.268,16.02,70.475,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.84,448.8020833,28.838,148.7,29.16,172.34,0.828333333,0.322333333,1.809333325,0.06,3.8125
02F,1.92368701,0.013,0.029,0.958,CML333,2.36,218.8135593,25.856,108.986,14.06,51.64,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.55875,363.6880927,27.476,137.982,26.22,129.4275,0.111666667,0.131333332,3.450333325,0.92,5.605
02F,2.04628933,0.002,0.004,0.994,CML341,3.04,191.25,27.678,94.824,13.62,58.14,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,4.175,369.1017964,27.885,148.94,31.1,154.1,0.228333333,1.042333333,10.53133333,1.14,2.355
02F,2.18605128,0.006,0.165,0.829,CML349,.,.,.,.,.,.,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.56,412.9213483,26.57,142.582,23.6,147,.,.,.,.,.
02F,2.13726111,0.001,0.002,0.997,CML38,1.975,57.21518987,22.6275,87.315,11.525,11.3,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.325,461.8796992,29.7425,156.3925,31.9,153.575,0.304166667,1.482916668,14.28583333,2.1875,25.775
